title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Very bad experience with customer service,Sarah A,Paris - New Delhi,This company has cancelled our flight the day of the flight without any proposition. We have not received any information. It is a shame and unprofessional ! Very bad experience,International,1.0,October 2024,20 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Time wasted,jeff1998nan,Bengaluru - Goa,"Pathetic!!! The departure times was at 12.45PM. but we actually departed at 4PM in the evening. Wasting our time and the day. There was no clarity given on why the delay was. The staff was bluffing the whole time giving us no clarity. The staff named Ayesha had an audacity to demand the passengers to collect the refreshments  and ""get lost"". Is this the behaviour that we would want to see and experience and the end of the day. She was arrogant and there was no courtesy shown from her end. She pissed off all the passengers by her words. A simple sorry would have calmed the situation but no...she didn't even bother to. In total it was a pathetic service from their end.",Domestic,1.0,October 2024,19 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Review,Maps32886688135,Ahmedabad - New Delhi,"Good services provided by the staff members, and food was awesome. I would recommend this flight. Thank youuuuuuuuuuuuu",Domestic,5.0,October 2024,19 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Excellent,Passenger17002684205,Pune - New Delhi,Excellent experience but my seat did not recline. Flight map showing plane speed in m/hr not kilo/hrs. Kind caring staff.,Domestic,3.0,April 2024,19 October 2024,5.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0
"Delayed flight , unpleasant experience right from check in to boarding to flying to landing ..",Jayeeta J,Kolkata (Calcutta) - Bengaluru,Undoubtedly this is the worst airlines I travelled. Every time it is a disappointment. Flights are usually delayed and staff is not pleasant . Overall repeated bad experience,Domestic,1.0,October 2024,18 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Missing luggage and no support from airline!,mallory N,New Delhi - London,"I enjoyed the flight there and back and the food wasn't bad for aeroplane food. However, on my flight back to the UK where I live my bag didn't arrive and it hasn't been located since! The airline won't admit they don't know where it is or that it might have gone tagless. This also means I can't claim on my travel insurance. I went away for 3 weeks, took a lot of my belongings, and bought lovely items on my trip that I fear won't get back or get any compensation for. The airline hasn't offered anything for this and has gone silent on me for the last 5 days, so I'm writing this complaint here. I'd love to go to India again but I won't be traveling with them again after this. I'd love some response and compensation for this, I appreciate the risk when travelling but this really isn't fair. It's but a real taint on an incredible trip away :(",International,3.0,September 2024,18 October 2024,4.0,4.0,2.0,1.0,2.0,4.0,1.0,3.0
Pleasant ride,Seaside51047812331,Mumbai - New Delhi,I travelled for very first time with Vistara and it’s my 2nd flight in life. Loved the hospitality and services. Crew is polite and flight attendants also.,Domestic,5.0,October 2024,18 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Worst airline,Roshan S,Bologna - Mumbai,Iam travelling Mumbai to Bologna (Italy)but flight is cancelled they vistara airlines not refunded me worst airlines,International,1.0,October 2024,17 October 2024,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0
Worst services,uma p,New Delhi - Singapore,"One of the worse airline and customer service i ever had... Flew back to Singapore on 05 5ctober 2024 in the evening. while doing my security check. I accidently carried back the diyas for diwali by hand. they officers confiscated the candles but gave us a suggestion. He told us why dont you call the airline and ask them to help to checkin this instead. so i called the airline customer services officer, he told me he is sending his staff over to help me. i waited for 15 mins still no sight of anyone, i called back and he told me to please wait. just hen i saw a vistara customer service officer and approach her. i told her my problem and asked her to help in this matter. she just told us , sorry i cant help you. if you need to check in the items u need to go to the counter and redo all the process and you will miss your flight. i told her is there any other way, but she didnt even try but just shut me off. i have took some other airlines, and some where willing to help or find a solution.  Vistara have the  poor customer services and the seat were small even a petite person finds it very diffcult to move.",Southeast Asia,1.0,October 2024,16 October 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Worst,Yanchen,New Delhi - Kathmandu,Worst experience ever. Company need to improve the service. And the worst part of the airline is not clean. The staff behaves,Asia,1.0,September 2024,15 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
O0000,Seema B,New Delhi - Kathmandu,"Worst service,,rude behaviour of cabin crew especially roshni very arrogant, no politeness,and one crew member also favours their colleagues",Asia,1.0,October 2024,15 October 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always a great experience,Vic . M M,New Delhi - Ahmedabad,"It’s always a wonderful experience to fly in any class on Vistara, weather its economy , premium economy or Business class . 
Right from the moment one boards , welcoming crew with great service and delicious meals. 
10/10",Domestic,5.0,October 2024,15 October 2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Worst staff and airline,Sunshine16903908407,Dehradun - Bengaluru,"I am a frequent flyer with atleast one flight booking every alternate months to destinations like Delhi and jaipur from Bangalore, all this while with indigo and very pleasant travels. But this experience with Vistara doesn’t even deserve 1 star. The staff at check in baggage counter insisted to weigh the bags with food and laptop as well since only 7 kg should be in hand baggage including all these. R they mad??? In all these yrs indigo never insisted on weighing hand baggage leave alone laptop n food bags. Horrible. Pls ppl if u hv extra money to spend on Vistara only assuming their service will be good then pls spend extra money on indigo to book meals or seats.. atleast saves u the half an hr time to argue with these morons",Domestic,1.0,October 2024,14 October 2024,N/A,N/A,N/A,1.0,1.0,N/A,1.0,N/A
Worst flight in so  far taken international flights,RAISA T,Paris - Bengaluru,"Worst flight for international service , food was raw undercooked meal , pillows had hair on it , washroom was kept unclean and overall not clean flight when we boarded itself",International,1.0,October 2024,11 October 2024,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0
Very bad experience never come again,Odyssey13276582169,Goa - New Delhi,Reshma was very altitude girl food quality is very bad plastic inside rice when i said about clearance she ignored mis behavior indigo is better as a compare,Domestic,1.0,September 2024,11 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bad experience with Vistara,Trek25887925439,Chennai (Madras) - New Delhi,"I had worse experience with Vistara ( receptionist who provide ticket i n airport, they didn't treat the passengers not even courtesy, i think they didn't attend any customer training before appointment, I have traveled multiple airlines but this is bad experience .. I won't recommend to any.",Domestic,2.0,October 2024,10 October 2024,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0
Fraudsters,Relax49452821057,Bengaluru - Ahmedabad,"The worst airline never ever choose this airline for traveling...They are fraudsters, they will deliberately keep their web-checking options shut and even if you reach the airport in time they will deliberately make delays so that you miss the travel because they have already sold your ticket to someone else...they keep all the rowdy as their staff who will threaten you of police complaints if you highlight these issues",Domestic,1.0,October 2024,8 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"""Disappointing Experience on Vistara Flight: No Tea or Coffee for Passengers, Rude Crew Response""",Explore42751974870,Goa - Bengaluru,"Dear Vistara Management, 
@airvistara
  
Do you take tea or Coffee in the morning? Of Course, you all do.
I wanted to bring to your attention a recent experience I had on your UK581 flight at 5:30 AM. As someone who enjoys a cup of tea or coffee in the morning, I was quite surprised to find that these basic refreshments were not offered to passengers. It was even more surprising to see the cabin crew enjoying their tea or coffee, while politely informing passengers that such beverages were not available.
I understand that flights can have specific catering policies, but considering that breakfast is included in the ticket, the absence of tea or coffee seems rather disappointing. Additionally, the way this was communicated by the crew was quite unprofessional. When asked, they responded rudely, instructing passengers to simply take their seats without further explanation.
As a loyal passenger, I feel this situation does not reflect the high standards Vistara is known for. I hope you will look into this matter and ensure that such experiences are avoided in the future.
Thank you for your attention to this issue.

@DGCAIndia
 
@airvistara
 
@MoCA_GoI
 
@consaff",Domestic,1.0,October 2024,6 October 2024,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Ripped new luggage and claim it’s not under their control,jaimejh,Hyderabad - New Delhi,"This company was recommended although they ripped the front zipper off my new luggage and the contents were lost. Given the later arrival it was hard to find someone on duty to make a claim. I contacted support and was told “ We would like to explain that baggage goes through various handling processes at the airport, many of which are beyond our direct control.” This means that they do not care what happens to your luggage and don’t claim it will be handled with normal care on their airline. So, check out a different airline if you have to check luggage or carryon only.",Domestic,2.0,October 2024,5 October 2024,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0
