title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
No humanity of Indigo members,Stay61491270369,Kolkata (Calcutta) - Bengaluru,"On 30th January,2025 I was travelling to Bangalore from Kolkata. My flight was at morning 6:30 am. I reached airport by 5:30 am sharp. But Indigo members did not allow me to board the flight say the boarding was closed and I have to pay extra charges of 2500 rupees. I requested them multiple times, even when to Indigo manager but there were so rude and no humanity was there within them. They simply did not bothered to listen to my request. I was literally felt so humiliating and devastating that I was so confused on that time. This was not at all expected from Indigo, as I use to prefer travelling in Indigo flights only. But today I understood its all scam to charge extra money from passengers unnecessarily. Request Indigo authority to look upon this matter. As we all are human and if we dont get proper hospitality/ corporation from the airlines then travelling would be very difficult.",Domestic,1.0,January 2025,30 January 2025,N/A,N/A,N/A,1.0,1.0,N/A,1.0,N/A
Cheating on check-in,Harish S,Bengaluru - Tokyo,"You tend to write a review when you really had a bad experience and cannot do much about it. I was literally cheated by Indigo and sharing the experience here. I arrived at BLR airport and was in the check-in line around 70 minutes before the flight departure to Hyderabad. By the time I got to the check-in counter, it was 58 minutes to the departure. 
The lady at the indigo check-in counter said that I am late for check-in (I had no checkin bags) and I have to buy the next flight ticket. I insisted that I was there early and asked to escalate. She called someone and told me that they cannot allow.
I reluctantly bought a ticket for the next flight by going to another counter. Fare difference was more than double the fare I paid for the first flight, thereby making it more than 3 times my original fare. 
By the time I checked-in and went through the security and reached the gate, the original flight was still boarding and there was still half an hour left for the original flight to leave. FYI, there was no waiting in security. 
I am not sure what to make out of this experience. Now I am more careful about checking in online in advance and arriving early. Remembered this incidence from 2 years ago while flying Indigo again today.

Not getting HYD option in Trip advisor  for destination",North Asia,1.0,February 2024,30 January 2025,4.0,3.0,N/A,1.0,1.0,3.0,1.0,N/A
Delhi to Udaipur with Delhi,Christopher W,New Delhi - Udaipur,"This was the second leg of a journey from Kolkata to Udaipur.  Unfortunately we couldn't find any direct flights from Kolkata to Udaipur.
Our baggage was checked through to Udaipur so we didn't have to worry about that but the transfer in Delhi between Terminals 2 an 3 is time consuming and involves a very long walk so it was good that we had sufficient time for the connection.
The flight to Udaipur was maybe one hour late leaving and similarly one hour late arriving in Udaipur.  The driver meeting us at Udaipur advised us that this flight is late ""every day"" between one and two hours.
The flight was otherwise ok.",Domestic,1.0,December 2024,29 January 2025,3.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0
Useless Customer Care Team,Relax53339356377,Bengaluru - Pune,"They don’t care about their customers at all and the company does not take accountability for their errors or make any effort to rectify them for the future.

I booked a Qantas-Indigo codeshare flight through Qantas.com and the Indigo leg of the flight was cancelled and ‘replaced with another flight’. Indigo failed to confirm the new flight with Qantas, causing me to reach Bangalore and not be listed as a passenger on the new flight. This forced me to book another ticket on the same flight that I had already paid for. I also had to pay 17kgs worth of excess baggage fees because I was now counted as a domestic flight and not international. 

Indigo refused to take accountability for the failure to confirm the new flight and did not help or compensate me in any way. The Customer Care team was completely unhelpful and kept saying they had referred my query to the relevant team. But even after a month I received no response. Indigo was supposed to confirm the flight with Qantas as per policy and they did not. I had to pay double and excess fees because of this through zero fault of my own.",Domestic,1.0,December 2024,28 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Poor costumer service,Ankit Barman,Kolkata (Calcutta) - Bengaluru,"I was Rech at CCU airport 6 pm  on 27th Jan 2025  flight number 6E 114 My flight was at 7 pm  Your help desk staff not even helf me he was very rude to me and he changed me 2500 Rs due  late arrival at airport  i don't have any option then i paid amount , indigo customer service not even take any call when I call to support team number.

Please note below points 

My PNR number RTFW3Y

Flight number 6E -6314

CCU to BLR

Flight supest to departure 20:15 HRS it was delayed 15 minites .

After broadening I was waiting for Bus service 10 minutes 

On flight AC service very poor.

After landing flight only one door open  get down  I was waiting long time, then  Bus come to us 10 minutes to pick us it's was really pathetic service. 

When costumer  paing there hesal free service i don't think so I get that kind service.",Domestic,1.0,December 2024,28 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Worse worse airline,Taishav P,Doha - Mumbai,"Indigo does offer some low prices on several routes at first glance. However, be extremely extremely careful with their way of handling passengers. In my case, I had a check in luggage of 30kg included in my ticket. Well before my flight I also bought what was called “additional bag”. Believe it or not, when buying an “additional bag”, you ONLY buy the check in luggage with a weight worth of 0kg !!! I have travelled across 30 countries worldwide mainly by air travel but I had never heard of such policy ! Once again, this might be their policy but it surely encourages confusion among costumers. My big question is why sell an additional bag which weighs 0kg to its customers ! IF Indigo aims at having a trustworthy and honest relationship with their customers PLEASE stop use misleading terms ! 

However, thanks to the QAS staff at the airport who were friendly, calm, composed and did their job to perfection (I totally understand their need to respect Indigo’s procedures).

This time when I came back on the other way, I presented myself to the check in counter exactly 01H10M before the flight’s departure, since I came from a transiting flight. To my surprise, one Indigo employee after seeing my destination, shouted at me “Sir, I don’t take you for this flight now, you’re late”. Seemingly some employees don’t even know their procedure regarding check in timings. I insisted a few times before she led me annoyed (for no reason) to a check in counter. She made me sign a “limited release” baggage tag in order to take my bag on the flight. For your info, with this tag, you have no guarantee and accept that by sending your bag, it has some defect or will not reach its destination ! All of that while still checking in 10M before their official closure time for CHECK IN ?!",International,1.0,November 2024,28 January 2025,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
Ms. Anwesha outstanding flight attendant,saisriorl,Chennai (Madras) - Bengaluru,"Ms. Anwesha who was a flight attendant from MAA to BLR
PNR Code # Q28W5J
Chennai to Bengaluru – 6E 6820
Jan 25, 8:40 AM–9:35 AM
Take-off
Sat, Jan 25, 8:40 AM

During the time, Anwesha went out of the way to treat with profound respect, honest, ethical, and really caring… She is a true example of a Flight attendant should be…her actions meant a lot to me...
Her decent work, should not go unnoticed… Please ensure inform her lead as well as the upper management for her exemplary work.

Appreciated 
Thanks & Best Regards,
Respectfully Submitted,
Sridhar Rangaswamy (""Sri"")
US Trademark: #5030763 
US Trademark #SN 98620494:
""Promise Less/Under Promise and Deliver More""
""Excellence is not an act, it is a Habit.""
""Honesty is the Best Policy “Be Truthful, Honest and Fair""",Domestic,5.0,January 2025,28 January 2025,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Judgmental Behavior at Jaipur Airport - Not Treated Like an International Traveler, Boarding Pass Issue",Poonam T,Jaipur - Singapore,"Flight 6E6427 | PNR-R1K8WP

I had an awful experience with Indigo. Despite being a loyal customer with over 100 bookings in 3 years, your staff caused immense stress for my elderly parents traveling internationally. Last-minute demands for a fixed bank balance, hotel booking, and an invitation letter on a Singapore letterhead—none of which were communicated earlier—led to hours of panic.

When my brother tried to help, he was refused assistance and lied to about escalating the issue. Even after providing all necessary documents, your staff acted judgmentally and unprofessionally. This experience was unacceptable, and I will ensure no one else goes through this. Last month, when my friend traveled to Singapore, no one asked these questions because they are engineers. However, my parents are farmers, and they were treated differently.

—Poonam Thalor",Southeast Asia,3.0,January 2025,28 January 2025,1.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0
Kolkata to Delhi on Route to Udaipur,Christopher W,Kolkata (Calcutta) - New Delhi,"There are no direct flights from Kolkata to Udaipur so four of us have to travel via Delhi.  
Check in and boarding in Kolkata was fine.  We took off on time and arrived in Delhi on time.
The in flight service was ok and reasonable for the budget flight that it is.
While our itinerary clearly showed that we would have to change terminals in Delhi we were surprised at the distance involved.  Fortunately our baggage was checked through to Udaipur so we only had to get ourselves between terminals.
It's unfortunate and time consuming that Delhi does not have smooth, uniteruppted transfers.  It is necessary to leave the airside area, take a very long walk and go through security again.",Domestic,2.0,December 2024,27 January 2025,3.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0
Prize to Indigo for being the Worst,Gurmail D,Male - Doha,"Unless you are Indian living in India with an Indian Mobile Number and don't need to travel with any luggage, then AVIOD Indigo like the plague. They are by far the worst airline to use in India.  I thought Air India was bad as they randomly cancel flights, but Indigo get the all-time prize for being the worst.

If you have a non Indian passport you cannot check in nor can you pay for excess baggage. Then when you get to the airport they have a special rate that is even higher even though you have no way to get the web/pre paid rate.  You will spend more for a few kilos than you paid for the flight. We had a stopover as they dont frly direct from the Maldives to Agra, so we got to pay the fees twice for both legs of the journey. 

They have lots of ways to get you to spend more onboard as well.  

If I had known how bad they were, I would have used another airline.",International,3.0,January 2025,27 January 2025,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0
