title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Inspiring Asset,Santhosh Nair,Kochi (Cochin) - Chennai (Madras),"Kudos to Sheeba and the crew members 
Truly inspiring Asset ,who takes care of passengers satisfaction and comfort. Always with a pleasant smile… keep going 👏👏👏",Domestic,4.0,January 2025,29 January 2025,5.0,5.0,N/A,5.0,5.0,N/A,4.0,N/A
Totally Worst,Aamir N,Dubai - New Delhi,They are providing Very Bad Service Even no one want to listen something else.If No one can manage this Flight Aircraft so Please close this line.So no one passenger will Trouble.,International,1.0,October 2024,28 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NEVER EVER book SPICEJET flights,Quest65015738527,New Delhi - Pune,"Spicejet Flights are SCAM. Please NEVER EVER book SPICEJET flights.
They have Operational Issues , frequently delaying of Flights and Cancellation after long waiting. After all this they Don't Refund your amount. 
Also they charge more as compared to other flights for Extra baggage.",Domestic,1.0,January 2025,27 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WORST AIRLINE EVER DO NOT TRY IT AT ALL,Travel17475627018,Ahmedabad - New Delhi,"worst airline EVER. delayed the flight by 8 goddamn hours and the staff had the audacity to say they are not liable for us. The sprocket supervisor at Manohar international airport was also ridiculous at managing the angry passengers. He was fighting with us as if we were the ones causing the whole hassle in the first place! the audacity! (we had a layover at goa for 10 hours initially, but the flight went from 5:20 to 11:30 pm) we were stuck at manohar international for 13+ hours with limited funds and they did not do anything except give us dinner at 9:00 pm. What about the rest of our day if that is the only compensation you’re willing to give. I will NEVER travel with this airline again even if they paid me, i swear by it. Worst experience, i want to give it a minus rating.",Domestic,1.0,January 2025,27 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Outstanding Experience aboard SpiceJet,TILAK T,Kolkata (Calcutta) - Bengaluru,"Dear SpiceJet,
I am a doctor in the Indian Air Force and have always enjoyed flying SpiceJet! The recent trip of mine from Kolkata to Bengaluru [SG 518] on 26 Jan was indeed an awesome experience. The flight was late due to weather but the intimations were done well in time. The checjk-in staff was courteous and professional. The seats of the aircraft were very comfortable- Rarely seen in the other airlines these days! The in-flight experience was just super! The cabin attendants were in the attire befitting the Republic Day and were truly perfect their service with a smile and forthcoming nature. My request for a warm beverage in lieu of the soft drink was acceded to with no resistance! Please convey the compliments to the staff! The landing by Captain Rajiv Mohan was a 10/10!!! One of the finest landing experiences in the recent times off my travel- Ultimate smooth touchdown! C'mon, SpiceJet- Push your services more frequently and let more passengers have the experience of flying in comfort! Looking forward to flying again with SpiceJet!
Regards,",Domestic,5.0,January 2025,27 January 2025,5.0,5.0,N/A,5.0,5.0,5.0,5.0,5.0
Intimidation and Harassment by SpiceJet Ground Staff,Odyssey07374670119,Bengaluru - Kolkata (Calcutta),"I had an extremely distressing experience with SpiceJet during the boarding process for my flight (PNR: HBB72M). One of their ground staff members, who identified himself as Mr. Vinay, subjected me to unwarranted harassment, intimidation, and threats, despite my willingness to comply and pay the required baggage charges.

Here’s a summary of what I endured:

Weight Discrepancy and Lack of Proof: My hand luggage was 6 kg over the limit, as I observed on the scale. However, Mr. Vinay insisted it was 7 kg without providing any proof. When I questioned this, he rudely dismissed me and told me to “talk to SpiceJet later” because “his decision was final.”

Dismissal of Reasonable Solutions: I offered to check in one of my bags to adhere to the baggage rules, but Mr. Vinay refused and stated it was “not his responsibility.”

Threats of Denied Boarding: Despite my cooperation and readiness to pay, Mr. Vinay repeatedly threatened, “I will not allow you to board the flight,” as if he was doing me a favor by even engaging in the conversation.

Hostile and Intimidating Language: At one point, Mr. Vinay warned me that I would be reported to the DGCA and would receive calls from security upon landing. He even claimed he could ban me from flying with SpiceJet in the future.

Unnecessary Escalation: After issuing a receipt for the additional baggage charges, he refused my request to document the excess weight on the receipt. When I requested to read the receipt before signing, he threatened me again with “You don’t have to board the flight then.”

TripAdvisor Review: Intimidation and Harassment by SpiceJet Ground Staff
I had an extremely distressing experience with SpiceJet during the boarding process for my flight (PNR: HBB72M). One of their ground staff members, who identified himself as Mr. Vinay, subjected me to unwarranted harassment, intimidation, and threats, despite my willingness to comply and pay the required baggage charges.

Here’s a summary of what I endured:

Weight Discrepancy and Lack of Proof: My hand luggage was 6 kg over the limit, as I observed on the scale. However, Mr. Vinay insisted it was 7 kg without providing any proof. When I questioned this, he rudely dismissed me and told me to “talk to SpiceJet later” because “his decision was final.”

Dismissal of Reasonable Solutions: I offered to check in one of my bags to adhere to the baggage rules, but Mr. Vinay refused and stated it was “not his responsibility.”

Threats of Denied Boarding: Despite my cooperation and readiness to pay, Mr. Vinay repeatedly threatened, “I will not allow you to board the flight,” as if he was doing me a favor by even engaging in the conversation.

Hostile and Intimidating Language: At one point, Mr. Vinay warned me that I would be reported to the DGCA and would receive calls from security upon landing. He even claimed he could ban me from flying with SpiceJet in the future.

Unnecessary Escalation: After issuing a receipt for the additional baggage charges, he refused my request to document the excess weight on the receipt. When I requested to read the receipt before signing, he threatened me again with “You don’t have to board the flight then.”

Inconsistent Payment Options: Initially, he demanded payment via card only, despite my readiness to pay through UPI. This lack of flexibility further added to the frustration.

This entire experience felt like an orchestrated attempt to humiliate and intimidate me. The staff member used aggressive and condescending language, turning a routine process into a nightmare.

Key Questions for SpiceJet:

Why was I, a cooperative passenger, subjected to such degrading treatment?
What breach of security did I allegedly commit to warrant threats of DGCA involvement and security scrutiny?
Why did the staff refuse to provide proof of the claimed excess weight and dismiss my suggestions for resolution?
This level of unprofessionalism is shocking. While SpiceJet issued just an apology mail in response to my complaint, no corrective action was mentioned, nor was any compensation offered for the distress caused. Passengers should not have to tolerate this kind of behavior from airline staff.",Domestic,3.0,January 2025,26 January 2025,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0
Bad customer service.,Keyuri N,Varanasi - Mumbai,"My recent experience with SpiceJet - SG330 - A78IJL - Saturday 25th January 5:40pm from Varanasi  was quite uncomfortable due to excessive noise throughout the journey. To make matters worse, we purchased food onboard, but when the spoon accidentally slipped from my hand, I requested a replacement from the flight attendant. To my surprise, they outright denied having any extra spoons and responded in a rude manner. I was left wondering how I was supposed to eat without a spoon. Eventually, the steward brought one from inside, but the air hostess gave unpleasant expressions and commented, “Oh, you got the spoon from our meals,” which felt unnecessarily rude and unprofessional.

It’s baffling that a flight charging such significant fares cannot provide basic items like extra spoons. This reflects poorly on their customer service and etiquette, which were severely lacking during this journey.",Domestic,1.0,January 2025,26 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spice jet SG964,Rohit S,New Delhi - Pune,Inflight service on 25/01/25 on flight SG964 were excellent .crew members were helping in placing cabin bags by taking  great care,Domestic,5.0,January 2025,25 January 2025,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"WORST EXPERIENCE, DO NOT TRAVEL",Shubhangi Singh Chauhan,Pune - Goa,"Pathetic, worst and terrible airline. My flight was from Pune to Goa and it got rescheduled 3 times, 12:20 PM to 5:15 PM. It didn’t even offer any food or water to us during the 6 hours long waiting time. They kept on delaying and started giving stupid reasons. Flight took off at 6:25 PM leaving all of us more devastated. Big time liars and thieves. Kindly do not travel from Spicejet, they are the most pathetic airlines. Save yourself from these idiots.",Domestic,1.0,January 2025,23 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spicejet - Great Experience,Sandeep Raj,New Delhi - Prayagraj,"Great experience flying with Spicejet. Scored high on all counts - Reservation, Web check-in, Ground Staff, Hot Food, Polite on flight crew.",Domestic,5.0,January 2025,23 January 2025,4.0,5.0,N/A,5.0,5.0,5.0,5.0,5.0
