title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Worst airlines,Shakthii V,Kathmandu - Singapore,"Worst airlines I’ve taken in my life. I was travelling from Kathmandu to Singapore. Firstly, there was a delay in flight for 45 mins in Kathmandu. Next, had a huge holdup at the security screening area and multiple flights were about to depart , nobody came to usher us in quickly. Lastly, we had to wait for more than 9 hours at the airport without any proper compensation except for lunch and dinner, lying around at some coffeeshop area called Dilli streat. Worst airlines!",Southeast Asia,1.0,February 2025,4 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delhi to London with Air India,Christopher W,New Delhi - London,"This was the second leg of a journey back to the UK from Kolkata.
We transferred in Delhi which is a process that could be improved but that is for the airport authority, not Air India.
Boarding was well managed.
We took off on time and arrived into London about 20 minutes early.
Cabin crew were great.  Food was great.
Keep it up Air India",International,4.0,January 2025,3 February 2025,4.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0
Worst Airline,Gabriela M,Zurich - New Delhi,"Worst Airline ever!!!!!! Travelling since ages, never seen such a bad airline! The food, service, timing, everything worst! Nightmare",International,1.0,December 2024,3 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Air India flights are worst than city bus service,Deepak K,Toronto - New Delhi,"Flight Departed late an hour late. Air hostess are queens and you better serve them instead of asking them for water or food. Infotainment was broken in whole flight. Torn seats, ripped head rest and sharp broken plastic seat frames. Food served was rotten and disgusting. Overall worst ever experience",International,1.0,January 2025,2 February 2025,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bitter customer experience at the Toronto airport,Rana S,Orlando - New Delhi,"Few staff at the Toronto airport was very rude to us, The person name “Masud “ and other not sure his name. Both person at the airport was very rude and harrash us ( we were four passengers). It was very bitter experience, 

finally one of lady ( not sure her name ) she is the one helps us to board) we are so happy with her assistance. Without her assistance we were unable to resolve the situation. We never ever thought the Indian airline staff are giving very unfortunate  and used  unacceptable behaviour.",International,2.0,January 2025,2 February 2025,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
Bad experience,Aashna B,New Delhi - Singapore,"We booked our flight from Delhi to Singapore on 30th January and our connecting flights was 31 January from Singapore to Melbourne in morning, we got notification on app that you flight which is on 30th January is cancelled and again book on 31st afternoon, when we call customer service and ask how can you guys do that then they said sorry sir it is jus happened, I ask what about our next flight from Singapore, thay said speak to next flight agency,unbelievable 
Never ever fly with air India and I never book air India for my parents and never recommend to friends and family",Southeast Asia,1.0,January 2025,1 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
I Don’t Recommend Air India,LuckyGirl58,Jaipur - New Delhi,"We booked a flight on Air India Express which was changed to Air India the night before we left. The message said we had to be at the airport 3 hrs before departure. We got to the airport at 9am, checked in at 9:30 and cleared customs by 10, then we waited for our flight to depart at 12:20.  12:20 arrived and no staff were at the gate and on the departure board, our flight was blinking delayed. For the next 3 hrs, there was no staff to get any information. We waited at Gate 1A/1B and it was freezing. The air conditioning was so cold. Finally, staff arrived and told us, the plane was in Delhi and may or may not arrive in Jaipur. Many people left to get a refund and their luggage and try to get on a different flight. The staff tried to be helpful and gave everyone a comfort package (water, chips, cookies and candy’s) and requested the air conditioning be turned down. The plane finally arrived and we departed at about 4:30. The flight was good and was not full (as many people left) and the plane seemed like a newer plane. Everyone was given a snack (cheese sandwich, yogurt and water).   This is the 2nd time I’ve flown with Air India and both times have not been good.  I flew with their competitor, Indigo, and they were excellent. I definitely recommend Indigo and would not recommend Air India.",Domestic,1.0,February 2025,1 February 2025,1.0,1.0,N/A,1.0,1.0,1.0,1.0,1.0
Overall it’s pretty good!,Siddh P,Melbourne - Mumbai,"It was an amazing experience! The food was surprisingly excellent, and the wifi you get there was great. In flight entertainment wasn’t too bad. Only problem was that the flight was delayed by 4 hours, which is why I rate Air India 4 stars",International,5.0,September 2024,1 February 2025,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0
Worst flight ever,jasveen s,New Delhi - Toronto,"Worst to worst flight ever .. always delayed .. broken seats , broken screens and not working , dirty plane.. will never recommend to anyone..",International,1.0,January 2025,1 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AIR INDIA - shocking service,antpadj,London - Goa,Flight cancelled hours before due to leave. New flight for next day. Delayed. Absolutely dreadful online discussions until I pretended i was a business class passenger- they then were excellent. The re arranged flight was not on their website or even known about when we went through customs. In this day and age there is no excuse for this shoddy service. I will NEVER use them again. I hope I get back in time ath e end of my ( now shortened) holiday. DO NOT BOOK WITH AIR INDIA,International,1.0,January 2025,1 February 2025,N/A,N/A,N/A,1.0,3.0,N/A,1.0,N/A
